company	company_type	Total	Governance	Freedom of Expression	Privacy	name
América Móvil	telco	20.7	20.83	16.29	23.89	
Apple	internet company	35.26	16.53	21.68	48.3	
AT&T	telco	48.41	66.71	40.75	46.71	
Axiata	telco	13.32	2.78	12.99	17.78	
Baidu	internet company	12.99	0	12.76	17.44	
Bharti Airtel	telco	14.26	16.25	9.51	16.94	
Etisalat	telco	7.73	8.33	15.28	1.94	
Facebook	internet company	52.67	81.3	41.43	48.75	
Google	internet company	64.72	71.04	60.09	64.93	
Kakao	internet company	50.06	35.37	54.81	52.57	
Mail.Ru	internet company	21.57	7.43	21.19	26.48	
Microsoft	internet company	62.49	87.69	53.33	58.67	
MTN	telco	15.34	30.56	13.18	10.83	
Ooredoo	telco	5.09	1.67	13.91	0	
Orange	telco	31.61	73.89	16.2	26.01	
Samsung	internet company	25.55	21.76	20.17	29.5	
Telefónica	telco	33.4	57.5	26.55	28.78	
Tencent	internet company	22.24	8.61	14.37	30.73	
Twitter	internet company	47.73	29.77	49.29	52.93	
Vodafone	telco	48.11	81.3	44.54	37.45	
Yahoo	internet company	58.16	87.5	43.09	55.91	
Yandex	internet company	27.94	9.95	22.67	36.57	
